			Values		
2025	01	0303140135-TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO	9	R$ 104.895,51	R$ 11.655,06
2025	01	0303140143-TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES	12	R$ 104.393,53	R$ 8.699,46
2025	01	0303140151-TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)	30	R$ 183.724,69	R$ 6.124,16
2025	01	0303150017-TRATAMENTO DE DOENCAS DOS ORGAOS GENITAIS MASCULINOS	2	R$ 527,82	R$ 263,91
2025	01	0303150025-TRATAMENTO DE DOENCAS GLOMERULARES	14	R$ 32.736,21	R$ 2.338,30
2025	01	0303150033-TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS	2	R$ 644,42	R$ 322,21
2025	01	0303150050-TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO	7	R$ 3.334,47	R$ 476,35
2025	01	0303150068-TRATAMENTO DE OUTROS TRANSTORNOS DO RIM E DO URETER	1	R$ 825,33	R$ 825,33
2025	01	0303160020-TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL	2	R$ 746,02	R$ 373,01
2025	01	0303160039-TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL	9	R$ 24.763,50	R$ 2.751,50
2025	01	0303160047-TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO	2	R$ 811,61	R$ 405,81
2025	01	0303160055-TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL	4	R$ 37.969,03	R$ 9.492,26
2025	01	0303160063-TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL	9	R$ 78.223,33	R$ 8.691,48
2025	01	0303170131-TRATAMENTO CLINICO EM SAUDE MENTAL EM SITUACAO DE RISCO ELEVADO DE SUICIDIO.	5	R$ 1.026,00	R$ 205,20
2025	01	0303170140-TRATAMENTO CLINICO PARA CONTENCAO DE COMPORTAMENTO DESORGANIZADO E/OU DISRUPTIVO	6	R$ 4.332,40	R$ 722,07
2025	01	0303170166-TRATAMENTO CLINICO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DE ALCOOL	3	R$ 557,44	R$ 185,81
2025	01	0303170174-TRATAMENTO CLINICO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DE “CRACK”.	2	R$ 228,01	R$ 114,01
2025	01	0303170182-TRATAMENTO CLINICO DOS TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DAS DEMAIS DROGAS E/OU OUTRAS SUBSTANCIAS PSICOATIVAS	2	R$ 285,00	R$ 142,50
2025	01	0304080020-INTERNACAO P/ QUIMIOTERAPIA DE ADMINISTRACAO CONTINUA	25	R$ 45.566,64	R$ 1.822,67
2025	01	0304080039-INTERNACAO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRONICAS AGUDIZADAS	10	R$ 57.375,75	R$ 5.737,58
2025	01	0304100013-TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO	38	R$ 13.486,81	R$ 354,92
2025	01	0304100021-TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO	50	R$ 37.590,59	R$ 751,81
2025	01	0305010174-TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)	8	R$ 2.645,03	R$ 330,63
2025	01	0305020013-TRATAMENTO DA PIELONEFRITE	4	R$ 818,00	R$ 204,50
2025	01	0305020021-TRATAMENTO DE CALCULOSE RENAL	5	R$ 1.450,23	R$ 290,05
2025	01	0305020048-TRATAMENTO DE INSUFICIENCIA RENAL AGUDA	6	R$ 9.550,36	R$ 1.591,73
2025	01	0305020056-TRATAMENTO DA DOENCA RENAL CRONICA - DRC	8	R$ 25.589,53	R$ 3.198,69
2025	01	0308010019-TRATAMENTO CLINICO/CONSERVADOR DE TRAUMATISMOS DE QUALQUER LOCALIZACAO	7	R$ 3.931,72	R$ 561,67
2025	01	0308010027-TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO	1	R$ 422,43	R$ 422,43
2025	01	0308010043-TRATAMENTO DE TRAUMATISMOS ENVOLVENDO MULTIPLAS REGIOES DO CORPO	1	R$ 385,98	R$ 385,98
2025	01	0308020030-TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDICINAL	3	R$ 3.416,71	R$ 1.138,90
2025	01	0308030010-TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL	6	R$ 3.152,97	R$ 525,50
2025	01	0308040015-TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS	8	R$ 4.429,33	R$ 553,67
2025	01	0310010039-PARTO NORMAL	62	R$ 36.222,44	R$ 584,23
2025	01	0310010047-PARTO NORMAL EM GESTACAO DE ALTO RISCO	8	R$ 5.951,43	R$ 743,93
2025	01	0401020037-ENXERTO LIVRE DE PELE TOTAL	1	R$ 1.298,24	R$ 1.298,24
2025	01	0401020045-EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )	6	R$ 2.148,92	R$ 358,15
2025	01	0401020053-EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO	1	R$ 356,82	R$ 356,82
2025	01	0401020070-EXERESE DE CISTO DERMOIDE	2	R$ 287,44	R$ 143,72
2025	01	0401020100-EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO	8	R$ 1.264,88	R$ 158,11
2025	01	0401020150-TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR	1	R$ 343,62	R$ 343,62
2025	01	0402010027-PARATIREOIDECTOMIA	1	R$ 865,30	R$ 865,30
2025	01	0402010035-TIREOIDECTOMIA PARCIAL	1	R$ 425,63	R$ 425,63
2025	01	0402010043-TIREOIDECTOMIA TOTAL	2	R$ 942,88	R$ 471,44
2025	01	0403010098-DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA	10	R$ 67.616,93	R$ 6.761,69
2025	01	0403010101-DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE	6	R$ 23.439,60	R$ 3.906,60
2025	01	0403010187-REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE	1	R$ 2.116,37	R$ 2.116,37
2025	01	0403010225-TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO	1	R$ 37.849,05	R$ 37.849,05
2025	01	0403010241-TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA	1	R$ 2.465,68	R$ 2.465,68
2025	01	0403010276-TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL	1	R$ 1.649,28	R$ 1.649,28
2025	01	0403010306-TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO	1	R$ 2.162,22	R$ 2.162,22
2025	01	0403010314-TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO	2	R$ 8.262,61	R$ 4.131,31
2025	01	0403010322-TRATAMENTO CIRURGICO DE OSTEOMIELITE DO CRANIO	1	R$ 1.430,55	R$ 1.430,55
2025	01	0403020042-MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA	4	R$ 6.776,02	R$ 1.694,01
2025	01	0403020123-TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO	5	R$ 1.738,10	R$ 347,62
2025	01	0403030064-HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR	2	R$ 13.466,99	R$ 6.733,50
2025	01	0403030161-RESSECCAO DE TUMOR RAQUIMEDULAR EXTRADURAL	1	R$ 3.069,69	R$ 3.069,69
2025	01	0403050103-RIZOTOMIA / NEUROTOMIA PERCUTANEA POR RADIOFREQUENCIA	1	R$ 1.328,42	R$ 1.328,42
2025	01	0403050154-TRATAMENTO DE LESAO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUIMICOS	6	R$ 9.097,08	R$ 1.516,18
2025	01	0404010016-ADENOIDECTOMIA	2	R$ 2.367,62	R$ 1.183,81
2025	01	0404010024-AMIGDALECTOMIA	3	R$ 2.452,58	R$ 817,53
2025	01	0404010032-AMIGDALECTOMIA COM ADENOIDECTOMIA	16	R$ 17.344,94	R$ 1.084,06
2025	01	0404010059-DRENAGEM DE ABSCESSO FARINGEO	7	R$ 4.795,96	R$ 685,14
2025	01	0404010113-EXERESE DE PAPILOMA EM LARINGE	12	R$ 2.148,17	R$ 179,01
2025	01	0404010172-LARINGECTOMIA PARCIAL	1	R$ 1.073,02	R$ 1.073,02
2025	01	0404010229-MASTOIDECTOMIA SUBTOTAL	4	R$ 3.755,12	R$ 938,78
2025	01	0404010237-MICROCIRURGIA OTOLOGICA	1	R$ 376,75	R$ 376,75
2025	01	0404010326-SINUSOTOMIA BILATERAL	2	R$ 1.536,65	R$ 768,33
2025	01	0404010350-TIMPANOPLASTIA (UNI / BILATERAL)	6	R$ 9.890,40	R$ 1.648,40
2025	01	0404010377-TRAQUEOSTOMIA	1	R$ 841,02	R$ 841,02
2025	01	0404010466-PAROTIDECTOMIA PARCIAL OU SUBTOTAL	1	R$ 450,83	R$ 450,83
2025	01	0404010482-SEPTOPLASTIA PARA CORRECAO DE DESVIO	5	R$ 4.975,03	R$ 995,01
2025	01	0404010504-TRATAMENTO CIRURGICO DE PERFURACAO DO SEPTO NASAL	1	R$ 289,23	R$ 289,23
2025	01	0404010520-SEPTOPLASTIA REPARADORA NAO ESTETICA	1	R$ 855,00	R$ 855,00
2025	01	0404010555-TRATAMENTO CIRURGICO DE RINOFIMA	1	R$ 315,43	R$ 315,43
2025	01	0404020070-RESSECCAO DE GLANDULA SALIVAR	1	R$ 202,88	R$ 202,88
2025	01	0404020143-GLOSSECTOMIA PARCIAL	1	R$ 718,10	R$ 718,10
2025	01	0404020224-RECONSTRUCAO TOTAL DE CAVIDADE ORBITARIA	3	R$ 1.608,40	R$ 536,13
2025	01	0404020275-RESSECCAO DE LESAO MALIGNA E BENIGNA DA REGIAO CRANIO E BUCOMAXILOFACIAL	1	R$ 1.162,56	R$ 1.162,56
2025	01	0404020321-RINOPLASTIA PARA DEFEITOS POS-TRAUMATICOS	3	R$ 1.438,40	R$ 479,47
2025	01	0404020348-TRATAMENTO CIRURGICO DE ATRESIA NARINARIA	1	R$ 7.723,93	R$ 7.723,93
2025	01	0404020380-TRATAMENTO CIRURGICO DE OSTEOMIELITE DE OSSOS DA FACE	1	R$ 541,90	R$ 541,90
2025	01	0404020453-OSTEOTOMIA DA MAXILA	5	R$ 6.861,27	R$ 1.372,25
2025	01	0404020461-OSTEOTOMIA DA MANDIBULA	1	R$ 659,03	R$ 659,03
2025	01	0404020500-OSTEOSSINTESE DA FRATURA COMPLEXA DA MANDIBULA	10	R$ 14.239,50	R$ 1.423,95
2025	01	0404020542-REDUCAO CIRURGICA DE FRATURA DOS OSSOS PROPRIOS DO NARIZ	9	R$ 2.271,60	R$ 252,40
2025	01	0404020569-ARTROPLASTIA DA ARTICULACAO TEMPORO-MANDIBULAR (RECIDIVANTE OU NAO)	1	R$ 363,34	R$ 363,34
2025	01	0404020771-RESSECCAO DE LESAO DA BOCA	1	R$ 341,30	R$ 341,30
2025	01	0405010010-CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO	1	R$ 575,48	R$ 575,48
2025	01	0405010036-DACRIOCISTORRINOSTOMIA	4	R$ 2.895,48	R$ 723,87
2025	01	0405010079-EXERESE DE CALAZIO E OUTRAS PEQUENAS LESOES DA PALPEBRA E SUPERCILIOS	1	R$ 162,75	R$ 162,75
2025	01	0405010125-RECONSTITUICAO PARCIAL DE PALPEBRA COM TARSORRAFIA	15	R$ 5.398,20	R$ 359,88
2025	01	0405010150-SONDAGEM DE CANAL LACRIMAL SOB ANESTESIA GERAL	2	R$ 458,34	R$ 229,17
2025	01	0405010176-SUTURA DE PALPEBRAS	7	R$ 1.539,66	R$ 219,95
2025	01	0405020015-CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS)	11	R$ 25.766,40	R$ 2.342,40
2025	01	0405020023-CORRECAO CIRURGICA DO ESTRABISMO (ATE 2 MUSCULOS)	2	R$ 3.671,46	R$ 1.835,73
2025	01	0405030029-BIOPSIA DE TUMOR INTRA OCULAR	1	R$ 277,11	R$ 277,11
2025	01	0405040067-ENUCLEACAO DE GLOBO OCULAR	2	R$ 999,16	R$ 499,58
2025	01	0405040075-EVISCERACAO DE GLOBO OCULAR	6	R$ 3.872,51	R$ 645,42
2025	01	0405040105-EXPLANTE DE LENTE INTRA OCULAR	1	R$ 846,19	R$ 846,19
2025	01	0405040148-ORBITOTOMIA	1	R$ 619,18	R$ 619,18
2025	01	0405040202-TRATAMENTO DE PTOSE PALPEBRAL	5	R$ 3.131,79	R$ 626,36
2025	01	0405040210-REPOSICIONAMENTO DE LENTE INTRAOCULAR	1	R$ 537,61	R$ 537,61
2025	01	0405050100-FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR	1	R$ 483,60	R$ 483,60
2025	01	0405050216-RECOBRIMENTO CONJUNTIVAL	1	R$ 256,27	R$ 256,27
2025	01	0405050232-RECONSTRUCAO DE CAMARA ANTERIOR DO OLHO	4	R$ 3.439,62	R$ 859,91
2025	01	0405050321-TRABECULECTOMIA	8	R$ 7.262,55	R$ 907,82
2025	01	0405050356-TRATAMENTO CIRURGICO DE GLAUCOMA CONGENITO	1	R$ 1.236,75	R$ 1.236,75
2025	01	0405050372-FACOEMULSIFICACAO COM IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL	53	R$ 40.894,80	R$ 771,60
2025	01	0406010510-DRENAGEM C/ BIOPSIA DE PERICARDIO	1	R$ 5.442,57	R$ 5.442,57
2025	01	0406010536-FECHAMENTO DE COMUNICACAO INTERATRIAL	1	R$ 14.164,24	R$ 14.164,24
2025	01	0406010587-IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CAMARA DUPLA TRANSVENOSO	2	R$ 93.544,73	R$ 46.772,37
2025	01	0406010650-IMPLANTE DE MARCAPASSO DE CAMARA DUPLA TRANSVENOSO	2	R$ 18.389,66	R$ 9.194,83
